NO-ANSWER
e variable a is initialized with 2015, 3, 13, 2015, 3, 13 respectively according to the input.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2) is called with the following parameters:
y1 = 2015, m1 = 3, d1 = 13, a = 2015, y2 = 2015, m2 = 3, d2 = 13.
The function count(long y1,int m1,int d1,int a,long y2,int m2,int d2
