Input: 35 8 20 20 1 2; Output: YES
Input: 0 11 67 82 6 4; Output: YES
Input: 1 21 178 20 1 1; Output: YES
Input: 49 2 50 20 2 1; Output: NO
Input: 64 12 258 141 10 7; Output: YES
Input: 40 1 40 5 11 2; Output: YES
Input: 3 1 20 15 17 5; Output: NO
Input: 15 5 230 213 32 25; Output: NO
Input: 30 5 20 20 3 5; Output: YES
Input: 1 2 1 2 1 2; Output: YES
Input: 74 72 104 71 1 1; Output: YES
Input: 543 4 31 69 6 5; Output: NO
Input: 5 3 11 100 2 4; Output: NO
Input: 11 1 10 1 10 1; Output: YES
Input: 50 10 30 20 1 2; Output: YES
Input: 223 92 123 118 1 1; Output: YES
Input: 18 12 11 54 1 3; Output: NO
Input: 16 24 26 23 1 1; Output: YES
Input: 3 18 272 17 6 1; Output: YES
Input: 17 10 10 20 1 2; Output: YES
Input: 15 5 230 213 32 25; Output: NO
Input: 10 4 100 5 5 1; Output: NO
Input: 230 125 175 124 1 1; Output: YES
Input: 5 4 11 80 2 4; Output: YES
Input: 0 15 86 84 5 2; Output: YES
Input: 142 1 66 76 18 39; Output: YES
Input: 27 45 44 169 1 2; Output: YES
Input: 13 3 11 14 5 1; Output: YES
Input: 0 7 30 50 3 4; Output: YES
Input: 6 2 11 1 11 1; Output: NO
Input: 80 5 39 40 1 1; Output: NO
Input: 375 6 133 267 19 36; Output: NO
Input: 0 3 5 6 1 2; Output: YES
Input: 5 3 135 12 21 6; Output: NO
Input: 50 5 30 60 3 3; Output: NO
Input: 30 9 18 83 1 7; Output: NO
Input: 41 77 96 145 1 1; Output: YES
Input: 363 2 280 239 5 231; Output: NO
Input: 16 73 92 72 1 1; Output: YES
Input: 0 35 208 98 6 2; Output: YES
Input: 360 5 215 4 52 1; Output: NO
Input: 46 7 18 6 3 1; Output: NO
Input: 38 100 99 245 1 1; Output: YES
Input: 10 2 27 4 11 1; Output: NO
Input: 59 4 113 45 25 12; Output: YES
Input: 6 46 95 45 1 1; Output: YES
Input: 28 3 16 20 3 10; Output: NO
Input: 145 26 25 150 1 4; Output: YES
Input: 49 2 50 20 2 1; Output: NO
Input: 59 18 50 17 1 1; Output: YES
Input: 2 5 29 36 5 6; Output: NO
