
The return value of the code is a 2D list with the following values:
[[4, 8],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [12, 18],
 [1
