Input: 627251; Output: 627251 1 
Input: 999983; Output: 999983 1 
Input: 8; Output: 8 4 2 1 
Input: 9; Output: 9 3 1 
Input: 1; Output: 1 
Input: 5; Output: 5 1 
Input: 733035; Output: 733035 244345 48869 1 
Input: 1000000; Output: 1000000 500000 250000 125000 62500 31250 15625 3125 625 125 25 5 1 
Input: 893193; Output: 893193 297731 42533 1 
Input: 120; Output: 120 60 30 15 5 1 
Input: 4; Output: 4 2 1 
Input: 15; Output: 15 5 1 
Input: 1331; Output: 1331 121 11 1 
Input: 100; Output: 100 50 25 5 1 
Input: 2430; Output: 2430 1215 405 135 45 15 5 1 
Input: 36; Output: 36 18 9 3 1 
Input: 600; Output: 600 300 150 75 25 5 1 
Input: 572877; Output: 572877 190959 63653 1201 1 
Input: 537000; Output: 537000 268500 134250 67125 22375 4475 895 179 1 
Input: 12; Output: 12 6 3 1 
Input: 1000000; Output: 1000000 500000 250000 125000 62500 31250 15625 3125 625 125 25 5 1 
Input: 10000; Output: 10000 5000 2500 1250 625 125 25 5 1 
Input: 100000; Output: 100000 50000 25000 12500 6250 3125 625 125 25 5 1 
Input: 121; Output: 121 11 1 
Input: 2; Output: 2 1 
Input: 21; Output: 21 7 1 
Input: 999999; Output: 999999 333333 111111 37037 5291 481 37 1 
Input: 1000000; Output: 1000000 500000 250000 125000 62500 31250 15625 3125 625 125 25 5 1 
Input: 3; Output: 3 1 
Input: 1000000; Output: 1000000 500000 250000 125000 62500 31250 15625 3125 625 125 25 5 1 
Input: 7; Output: 7 1 
Input: 25; Output: 25 5 1 
Input: 999983; Output: 999983 1 
Input: 313114; Output: 313114 156557 3331 1 
Input: 648; Output: 648 324 162 81 27 9 3 1 
Input: 720; Output: 720 360 180 90 45 15 5 1 
Input: 117079; Output: 117079 6887 97 1 
Input: 152956; Output: 152956 76478 38239 1 
Input: 6; Output: 6 3 1 
Input: 20; Output: 20 10 5 1 
Input: 100; Output: 100 50 25 5 1 
Input: 20; Output: 20 10 5 1 
Input: 9; Output: 9 3 1 
Input: 784653; Output: 784653 261551 9019 311 1 
Input: 10; Output: 10 5 1 
Input: 1000; Output: 1000 500 250 125 25 5 1 
Input: 473273; Output: 473273 2243 1 
Input: 524287; Output: 524287 1 
Input: 119070; Output: 119070 59535 19845 6615 2205 735 245 49 7 1 
Input: 509149; Output: 509149 1 
