
<<<Analysis>>>
The code first checks if the input is "RRR". If it is, it prints "3".
If it is not, it checks if the input is "SSR". If it is, it prints "1".
If it is not, it checks if the input is "SRS". If it is, it prints "1".
If it is not, it checks if the input is "RSS". If it is, it prints "1".
If it is not, it checks if the input is "SSS". If it is, it prints "0".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is, it prints "2".
If it is not, it checks if the input is "RRS". If it is,
