Input: 98 2; Output: 97
Input: 40 49; Output: 86
Input: 30 54; Output: 81
Input: 15 25; Output: 38
Input: 8 8; Output: 13
Input: 100 1; Output: 98
Input: 100 25; Output: 122
Input: 2 97; Output: 97
Input: 29 1; Output: 28
Input: 2 99; Output: 99
Input: 1 4; Output: 2
Input: 2 3; Output: 3
Input: 59 45; Output: 102
Input: 32 54; Output: 84
Input: 1 4; Output: 2
Input: 24 15; Output: 36
Input: 15 31; Output: 44
Input: 19 30; Output: 47
Input: 23 12; Output: 33
Input: 24 57; Output: 78
Input: 7 2; Output: 7
Input: 1 3; Output: 2
Input: 58 33; Output: 89
Input: 100 100; Output: 197
Input: 74 25; Output: 97
Input: 1 100; Output: 98
Input: 3 73; Output: 74
Input: 2 2; Output: 1
Input: 3 1; Output: 2
Input: 85 73; Output: 155
Input: 1 1; Output: 0
Input: 32 53; Output: 82
Input: 1 2; Output: 1
Input: 4 4; Output: 5
Input: 3 2; Output: 3
Input: 48 1; Output: 47
Input: 3 5; Output: 6
Input: 2 1; Output: 1
Input: 14 15; Output: 27
