Input: 17 3; Output: 25
Input: 80 970; Output: 80
Input: 1000 2; Output: 1999
Input: 91 5; Output: 113
Input: 80 970; Output: 80
Input: 1 2; Output: 1
Input: 80 970; Output: 80
Input: 5 3; Output: 7
Input: 20 3; Output: 29
Input: 1000 3; Output: 1499
Input: 1 3; Output: 1
Input: 1 1000; Output: 1
Input: 4 3; Output: 5
Input: 9 4; Output: 11
Input: 6 3; Output: 8
Input: 6 4; Output: 7
Input: 80 970; Output: 80
Input: 1000 1000; Output: 1001
Input: 80 970; Output: 80
Input: 3 2; Output: 5
Input: 999 2; Output: 1997
Input: 100 4; Output: 133
Input: 777 17; Output: 825
Input: 1000 4; Output: 1333
Input: 123 5; Output: 153
Input: 4 2; Output: 7
Input: 2 2; Output: 3
Input: 10 4; Output: 13
Input: 80 970; Output: 80
Input: 26 8; Output: 29
Input: 1 4; Output: 1
Input: 3 3; Output: 4
