2	len(arr)	8
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
7	range(i + 1, arr_len)	range(1, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(2, 8)
7	range(i + 1, arr_len)	range(2, 8)
7	range(i + 1, arr_len)	range(2, 8)
7	range(i + 1, arr_len)	range(2, 8)
7	range(i + 1, arr_len)	range(2, 8)
7	range(i + 1, arr_len)	range(2, 8)
7	range(i + 1, arr_len)	range(2, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(3, 8)
7	range(i + 1, arr_len)	range(3, 8)
7	range(i + 1, arr_len)	range(3, 8)
7	range(i + 1, arr_len)	range(3, 8)
7	range(i + 1, arr_len)	range(3, 8)
7	range(i + 1, arr_len)	range(3, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(4, 8)
7	range(i + 1, arr_len)	range(4, 8)
7	range(i + 1, arr_len)	range(4, 8)
7	range(i + 1, arr_len)	range(4, 8)
7	range(i + 1, arr_len)	range(4, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(5, 8)
7	range(i + 1, arr_len)	range(5, 8)
7	range(i + 1, arr_len)	range(5, 8)
7	range(i + 1, arr_len)	range(5, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(6, 8)
7	range(i + 1, arr_len)	range(6, 8)
7	range(i + 1, arr_len)	range(6, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(7, 8)
7	range(i + 1, arr_len)	range(7, 8)
6	range(0, arr_len)	range(0, 8)
7	range(i + 1, arr_len)	range(8, 8)
6	range(0, arr_len)	range(0, 8)
