Input: 444000000; Output: 4444477777
Input: 99999999; Output: 4444477777
Input: 9; Output: 47
Input: 47474774; Output: 47474774
Input: 99999999; Output: 4444477777
Input: 4587; Output: 4747
Input: 70; Output: 74
Input: 77777777; Output: 4444477777
Input: 147474747; Output: 4444477777
Input: 7474; Output: 7474
Input: 7773; Output: 444777
Input: 1007; Output: 4477
Input: 5556585; Output: 44447777
Input: 73; Output: 74
Input: 999999999; Output: 4444477777
Input: 74710000; Output: 74744477
Input: 10; Output: 47
Input: 74477744; Output: 74477744
Input: 4; Output: 47
Input: 4700007; Output: 44447777
Input: 1; Output: 47
Input: 4777; Output: 7447
Input: 47; Output: 47
Input: 74777443; Output: 74777444
Input: 19; Output: 47
Input: 1000000000; Output: 4444477777
Input: 474; Output: 4477
Input: 7; Output: 47
Input: 48; Output: 74
Input: 87584777; Output: 4444477777
Input: 1; Output: 47
Input: 777777; Output: 44447777
Input: 555; Output: 4477
Input: 7474747; Output: 44447777
Input: 50; Output: 74
Input: 123; Output: 4477
Input: 467549754; Output: 4444477777
Input: 74700; Output: 444777
Input: 99; Output: 4477
Input: 70070077; Output: 74444777
Input: 77777777; Output: 4444477777
Input: 85469; Output: 444777
Input: 1024; Output: 4477
Input: 3696; Output: 4477
Input: 447777; Output: 474477
Input: 2145226; Output: 44447777
Input: 4500; Output: 4747
Input: 100; Output: 4477
Input: 47474749; Output: 47474774
Input: 444444444; Output: 4444477777
Input: 12; Output: 47
Input: 491020945; Output: 4444477777
Input: 7748; Output: 444777
Input: 888999577; Output: 4444477777
Input: 100000; Output: 444777
