Input: Is it an apple?; Output: NO
Input: Is it a melon?; Output: NO
Input: whU?; Output: NO
Input: U?; Output: NO
Input: oHtSbDwzHb?; Output: NO
Input: BueDOlxgzeNlxrzRrMbKiQdmGujEKmGxclvaPpTuHmTqBp?; Output: NO
Input: GlEmEPKrYcOnBNJUIFjszWUyVdvWw DGDjoCMtRJUburkPToCyDrOtMr?; Output: NO
Input: gxzXbdcAQMuFKuuiPohtMgeypr wpDIoDSyOYTdvylcg SoEBZjnMHHYZGEqKgCgBeTbyTwyGuPZxkxsnSczotBdYyfcQsOVDVC?; Output: NO
Input:                       q             ?; Output: NO
Input: wmztmzFfwbGyOmNHENUFMTsFEMWYA?; Output: NO
Input: uMtXK?; Output: NO
Input:                                                                                                 J  ?; Output: NO
Input:        j                                                                                     ?; Output: NO
Input: dJcNqQiFXzcbsj fItCpBLyXOnrSBPebwyFHlxUJHqCUzzCmcAvMiKL NunwOXnKeIxUZmBVwiCUfPkjRAkTPbkYCmwRRnDSLaz?; Output: NO
Input: aqFDkCUKeHMyvZFcAyWlMUSQTFomtaWjoKLVyxLCw vcufPBFbaljOuHWiDCROYTcmbgzbaqHXKPOYEbuEtRqqoxBbOETCsQzhw?; Output: NO
Input: FQXBisXaJFMiHFQlXjixBDMaQuIbyqSBKGsBfTmBKCjszlGVZxEOqYYqRTUkGpSDDAoOXyXcQbHcPaegeOUBNeSD JiKOdECPOF?; Output: NO
Input: fgwg?; Output: NO
Input:                                                               T             ?; Output: NO
Input: n?; Output: NO
Input: HpBkttwSjBXDmyleGiRWNUMPaAIE uzTrp KJDzaUiCdsMYOoWKHoUhWUoecCPmACymMUUbGav UMRpCytPETwNFAObZJA?; Output: NO
Input: sZecYdUvZHrXx?; Output: NO
Input:   Is     it a banana ?; Output: NO
Input: LuhxDHVwMPTtUIUMIQTuQETgXCOQPsfdFlyHvpfOVedjUTpGLAZGOHloIjJJtOLAlHPivzA?; Output: NO
Input: mCDHENXjYbgMdBimAdPnewaHfpGWowjWrVAdvWczjw  iDcUbyzMsmsnwbviiKiAyGVA?; Output: NO
Input:  PslvVpgpN BXkMFBEVXsyZFIQbBEFxGkYTeXKrOdcmhbiTUatYRUoYAayrchqbksswIlfIjerZPqptvCGnMUhyrQSvwltRhFzA?; Output: NO
Input: hh?; Output: NO
Input:          B  ?; Output: NO
Input:                                                    c  ?; Output: NO
Input: iehvZNQXDGCuVmJPOEysLyUryTdfaIxIuTzTadDbqRQGoCLXkxnyfWSGoLXebNnQQNTqAQJebbyYvHOfpUnXeWdjx?; Output: NO
Input:        j                                                                                           ?; Output: NO
Input: YhCuZnrWUBEed?; Output: NO
Input: wGsfZCSwN PEUhNUrLfABrxA?; Output: NO
Input:                          o                           ?; Output: NO
Input: ARIWnwqFqxsQXsXXzHqvFjxOCttAGPUzDtWzsenPYdNXuFOIUGYZsLLK IaoxiyjBBRThoelwdPTkuCQfcBLUEJpCPIrVZlvUWA?; Output: NO
Input: Is   it an apple  and a  banana   simultaneouSLY?; Output: NO
