he variable a and variable b are initialized with 1 and 3 respectively according to the input.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to the Math.ceil() function to calculate the ceiling of b.
The value of variable a is passed to the Math.ceil() function to calculate the ceiling of a.
The value of variable b is passed to
