
<<<Analysis>>>
The variables H, W and T are initialized to 2, 2 and 1, respectively.
The code calculates the greatest common divisor (gcd) of H and T, which is 1.
The code calculates the greatest common divisor (gcd) of W and T, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (gcd) of H and W, which is 1.
The code calculates the greatest common divisor (
