Input: 1 9058; Output: 0
Input: 17 4248; Output: 12
Input: 32 6864; Output: 0
Input: 50 1; Output: 0
Input: 24 7440; Output: 9
Input: 50 50; Output: 5
Input: 1 1; Output: 0
Input: 46 7262; Output: 35
Input: 45 9465; Output: 14
Input: 29 1241; Output: 20
Input: 20 8082; Output: 11
Input: 50 10000; Output: 40
Input: 4 7455; Output: 2
Input: 3 8; Output: 1
Input: 17 107; Output: 2
Input: 29 7772; Output: 26
Input: 44 7888; Output: 12
Input: 50 9555; Output: 0
Input: 25 9712; Output: 11
Input: 36 6218; Output: 14
Input: 46 866; Output: 5
Input: 4 11; Output: 0
Input: 36 880; Output: 4
Input: 9 7601; Output: 5
Input: 1 10000; Output: 0
