
<<<Analysis>>>
The variable s is initialized with the input string.
The variable c is initialized with the character array of the input string.
The variable c is sorted.

The variable i is initialized with 0.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.length()-1.
The variable i is iterated from 0 to s.
