Input: 999999999877; Output: 1
Input: 1048576; Output: 5
Input: 755827200000; Output: 10
Input: 1000000007; Output: 1
Input: 366735600000; Output: 10
Input: 24; Output: 3
Input: 1024; Output: 4
Input: 217855720539; Output: 4
Input: 557256278016; Output: 9
Input: 999999999959; Output: 1
Input: 1; Output: 0
Input: 32; Output: 2
Input: 999999999937; Output: 1
Input: 268435456; Output: 7
Input: 999997738740; Output: 7
Input: 1000000000000; Output: 8
Input: 34359738368; Output: 7
Input: 999999999899; Output: 1
Input: 999985999949; Output: 2
Input: 997764507000; Output: 7
Input: 616600459151; Output: 2
Input: 549755813888; Output: 8
Input: 64; Output: 3
Input: 999999999961; Output: 1
Input: 850874549779; Output: 3
Input: 200560490130; Output: 11
Input: 12326391000; Output: 10
Input: 128; Output: 3
Input: 540015448085; Output: 2
Input: 999999999989; Output: 1
Input: 860155123876; Output: 5
Input: 44696171520; Output: 12
