Input: 999999999999999 0.00; Output: 0
Input: 755808190852409 4.65; Output: 3514508087463701
Input: 901335694041665 3.32; Output: 2992434504218327
Input: 999990000000010 9.90; Output: 9899901000000099
Input: 814793613347395 1.99; Output: 1621439290561316
Input: 198 1.10; Output: 217
Input: 999990000000100 9.99; Output: 9989900100000999
Input: 719260799964413 3.27; Output: 2351982815883630
Input: 547116602434646 4.44; Output: 2429197714809828
Input: 999990000000001 9.99; Output: 9989900100000009
Input: 408917861643436 0.80; Output: 327134289314748
Input: 664706138336385 9.79; Output: 6507473094313209
Input: 981260158257699 5.74; Output: 5632433308399192
Input: 1 0.01; Output: 0
Input: 816458265788623 1.96; Output: 1600258200945701
Input: 0 9.98; Output: 0
Input: 1000000000000000 9.99; Output: 9990000000000000
Input: 842184971396729 3.24; Output: 2728679307325401
Input: 586599810888828 0.09; Output: 52793982979994
Input: 776013196293085 8.11; Output: 6293467021936919
Input: 776013196293085 2.60; Output: 2017634310362021
Input: 609041597884348 1.20; Output: 730849917461217
