 <<<Analysis>>>
The code takes three integers as input, A, B and C.
It then checks if the following condition is met:
A < C < B or A > C > B
This translates to:
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C > B
A < C < B or A > C >
