Input: 123454320 80; Output: 160599768
Input: 3 2; Output: 5
Input: 900000001 97; Output: 212445492
Input: 10 3; Output: 147
Input: 1000000000 100; Output: 926307829
Input: 123454322 68; Output: 73286229
Input: 16 20; Output: 222760788
Input: 779283406 99; Output: 487694749
Input: 243551227 80; Output: 644200854
Input: 2 100; Output: 470199269
Input: 900000000 89; Output: 780773257
Input: 314159265 35; Output: 457397712
Input: 1 100; Output: 1
Input: 899999999 92; Output: 409296605
Input: 123454321 88; Output: 968285458
