
<<<Analysis>>>
The input is "BBBWW".
The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".

The first character is "B".
The second character is "B".
The third character is "B".
The fourth character is "W".
The fifth character is "W".
