Input: 59 12; Output: 12 23
Input: 100 1; Output: 1 49
Input: 4 10; Output: 4 3
Input: 68 21; Output: 21 23
Input: 45 99; Output: 45 27
Input: 6 10; Output: 6 2
Input: 89 89; Output: 89 0
Input: 15 45; Output: 15 15
Input: 3 1; Output: 1 1
Input: 100 23; Output: 23 38
Input: 6 11; Output: 6 2
Input: 1 1; Output: 1 0
Input: 99 100; Output: 99 0
Input: 86 4; Output: 4 41
Input: 2 3; Output: 2 0
Input: 11 32; Output: 11 10
Input: 34 96; Output: 34 31
Input: 7 3; Output: 3 2
Input: 1 100; Output: 1 49
Input: 34 30; Output: 30 2
Input: 11 56; Output: 11 22
Input: 100 10; Output: 10 45
Input: 100 11; Output: 11 44
Input: 45 12; Output: 12 16
Input: 100 100; Output: 100 0
Input: 68 59; Output: 59 4
Input: 33 33; Output: 33 0
Input: 100 98; Output: 98 1
Input: 10 40; Output: 10 15
Input: 100 45; Output: 45 27
