Input: 7753; Output: 42
Input: 3356; Output: 6
Input: 999999999; Output: 26484
Input: 357; Output: 1
Input: 333333357; Output: 8335
Input: 575; Output: 4
Input: 356; Output: 0
Input: 753; Output: 6
Input: 5555555; Output: 1635
Input: 37373737; Output: 3966
Input: 777777752; Output: 26483
Input: 500000000; Output: 14384
Input: 1; Output: 0
Input: 57577; Output: 137
Input: 3357; Output: 7
Input: 7752; Output: 41
Input: 777777753; Output: 26484
Input: 777757375; Output: 26423
Input: 3600; Output: 13
Input: 357357; Output: 286
