
<<<Analysis>>>
The variable n is initialized with 1 according to the input.
It enters a recursive function curve(n, a, b) and passes the value of variable n to it.
The function curve(n, a, b) calls itself recursively with n-1.
The function curve(n-1, a, b) calls itself recursively with n-2.
The function curve(n-2, a, b) calls itself recursively with n-3.
The function curve(n-3, a, b) calls itself recursively with n-4.
The function curve(n-4, a, b) calls itself recursively with n-5.
The function curve(n-5, a, b) calls itself recursively with n-6.
The function curve(n-6, a, b) calls itself recursively with n-7.
The function curve(n-7, a, b) calls itself recursively with n-8.
The function curve(n-8, a, b) calls itself recursively with n-9.
The function curve(n-9, a, b) calls itself recursively with n-10.
The function curve(n-10, a, b) calls itself recursively with n-11.
The function curve(n-11, a, b) calls itself recursively with n-12.
The function curve(n-12, a, b) calls itself recursively with n-13.
The function curve(n-13, a, b) calls itself recursively with n-14.
The function curve(n-14, a, b) calls itself recursively with n-15.
The function curve(n-15, a, b) calls itself recursively with n-16.
The function curve(n-16, a, b) calls itself recursively with n-17.
The function curve(n-17, a, b) calls itself recursively with n-18.
The function curve(n-18, a, b) calls itself recursively with n-19.
The function curve(n-19, a, b) calls itself recursively with n-20.
The function curve(n-20, a, b) calls itself recursively with n-21.
The function curve(n-21, a, b) calls itself recursively with n-22.
The function curve(n-22, a, b) calls itself recursively with n-23.
The function curve(n-23, a, b) calls itself recursively with n-24.
The function curve(n-24, a, b) calls itself recursively with n-25.
The function curve(n-25, a, b) calls itself recursively with n-26.
The function curve(n-26, a, b) calls itself recursively with n-27.
The function curve(n-27, a, b) calls itself recursively with n-28.
The function curve(n-28, a, b) calls itself recursively with n-29.
The function curve(n-29, a, b) calls itself recursively with n-30.
The function curve(n-30, a, b) calls itself recursively with n-31.
The function curve(n-31, a, b) calls itself recursively with n-32.
The function curve(n-32, a, b) calls itself recursively with n-33.
The function curve(n-33, a, b) calls itself recursively with n-34.
The function curve(n-34, a, b) calls itself recursively with n-35.
The function curve(n-35, a, b) calls itself recursively with n-36.
The function curve(n-36, a, b) calls itself recursively with n-37.
The function curve(n-37, a, b) calls itself recursively with n-38.
The function curve(n-38, a, b) calls itself recursively with n-39.
The function curve(n-39, a, b) calls itself recursively with n-40.
The function curve(n-40, a, b) calls itself
