"col0","col1","col2","col3"
"0","i",14,14
"0","i",15,15
"0","i",23,23
"0","i",42,42
"0","...=...",24,24
"num","num",44,44
"num","num",61,61
"num","num",65,65
"rank","rank",59,59
"rank","rank",59,66
"rank","rank",66,66
"parent","parent",43,43
"parent","parent",48,49
"parent","parent",49,49
"parent","parent",49,50
"next","next",28,29
"next","next",29,30
"now","now",27,29
"now","now",29,29
"x","x",47,48
"x","x",48,48
"x","x",48,49
"x","x",49,49
"x","x",49,50
"x","x",52,53
"x","x",55,56
"x","x",70,71
"sc","sc",7,8
"k","k",9,10
"k","k",10,11
"k","k",10,13
"k","k",11,10
"k","k",13,14
"k","k",14,14
"k","k",14,15
"k","k",15,16
"k","k",15,22
"k","k",16,15
"k","k",16,17
"k","k",17,15
"k","k",22,23
"k","k",23,23
"edges","edges",14,14
"edges","edges",14,17
"edges","edges",14,27
"edges","edges",17,17
"edges","edges",17,27
"edges","edges",27,27
"dq","dq",21,25
"dq","dq",25,26
"dq","dq",26,25
"dq","dq",26,30
"dq","dq",30,25
"dq","dq",30,30
"d","d",23,23
"d","d",23,24
"d","d",24,28
"d","d",24,34
"d","d",28,28
"d","d",28,29
"d","d",28,34
"d","d",29,28
"d","d",29,29
"d","d",29,34
"i","i",10,11
"i","i",11,10
"i","i",11,11
"i","i",14,14
"i","i",15,16
"i","i",16,15
"i","i",16,16
"i","i",16,17
"i","i",17,15
"i","i",17,17
"i","i",23,23
"i","i",42,43
"i","i",43,43
"i","i",43,44
"i","i",44,42
"i","...=...",43,43
"1","i",10,10
"1","...=...",44,44
"n","n",38,39
"n","n",39,40
"n","n",40,41
"n","n",41,42
"n","n",42,42
"y","y",52,53
"y","y",55,57
"xr","xr",58,59
"xr","xr",59,60
"xr","xr",59,64
"xr","xr",60,61
"xr","xr",64,65
"xr","xr",65,66
"xr","xr",66,66
"xr","...=...",64,64
"yr","yr",58,59
"yr","yr",59,60
"yr","yr",59,64
"yr","yr",60,61
"yr","yr",64,65
"yr","yr",65,66
"yr","...=...",60,60
"root(...)","xr",56,58
"root(...)","yr",57,58
"root(...)","...=...",49,49
"nextInt(...)","k",7,9
"pollFirst(...)","now",26,27
"... + ...","...=...",29,29
"-...","...=...",23,23
"new Scanner(...)","sc",6,7
"new ArrayDeque<Integer>(...)","dq",20,21
"new HashSet<Integer>(...)","...=...",14,14
"new int[]","num",41,44
"new int[]","parent",39,43
"new int[]","d",22,23
"new int[]","d",22,24
"new int[]","...=...",39,39
"new int[]","...=...",40,40
"new int[]","...=...",41,41
"new HashSet<>[]","edges",13,14
"new HashSet<>[]","edges",13,17
"new HashSet<>[]","edges",13,27
"[summary param] -1 in toString","[summary] to write: ReturnValue in toString",0,0
"[summary param] 0 in IOException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in IOException",0,0
"[summary param] -1 in append","[summary] to write: ReturnValue in append",0,0
"[summary param] -1 in reverse","[summary] to write: ReturnValue in reverse",0,0
"[summary param] -1 in insert","[summary] to write: ReturnValue in insert",0,0
"[summary param] -1 in replace","[summary] to write: ReturnValue in replace",0,0
"[summary param] 2 in replace","[summary] to write: Argument[this].MapValue in replace",0,0
"[summary param] -1 in delete","[summary] to write: ReturnValue in delete",0,0
"[summary param] 0 in AssertionError","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in AssertionError",0,0
"[summary param] 0 in cast","[summary] to write: ReturnValue in cast",0,0
"[summary param] 1 in merge","[summary] to write: Argument[this].MapValue in merge",0,0
"[summary param] 1 in computeIfAbsent","[summary] to write: Argument[1].Parameter[this] in computeIfAbsent",0,0
"[summary param] 0 in replace","[summary] to write: Argument[this].MapKey in replace",0,0
"[summary param] 1 in replace","[summary] to write: Argument[this].MapValue in replace",0,0
"[summary param] 0 in putIfAbsent","[summary] to write: Argument[this].MapKey in putIfAbsent",0,0
"[summary param] 1 in putIfAbsent","[summary] to write: Argument[this].MapValue in putIfAbsent",0,0
"[summary param] 0 in forEach","[summary] to write: Argument[0].Parameter[this] in forEach",0,0
"[summary param] 1 in getOrDefault","[summary] to write: ReturnValue in getOrDefault",0,0
"[summary param] 0 in put","[summary] to write: Argument[this].MapKey in put",0,0
"[summary param] 1 in put","[summary] to write: Argument[this].MapValue in put",0,0
"[summary param] 0 in Exception","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in Exception",0,0
"[summary param] 1 in Exception","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in Exception",0,0
"[summary param] 0 in IllegalArgumentException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in IllegalArgumentException",0,0
"[summary param] 0 in RuntimeException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in RuntimeException",0,0
"[summary param] 0 in RuntimeException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in RuntimeException",0,0
"[summary param] 1 in RuntimeException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in RuntimeException",0,0
"[summary] read: Argument[this].Element in clone","[summary] to write: ReturnValue.Element in clone",0,0
"[summary] read: Argument[this].MapValue in clone","[summary] to write: ReturnValue.MapValue in clone",0,0
"[summary] read: Argument[this].MapKey in clone","[summary] to write: ReturnValue.MapKey in clone",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Throwable.message] in getMessage","[summary] to write: ReturnValue in getMessage",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Throwable.cause] in getCause","[summary] to write: ReturnValue in getCause",0,0
"[summary] read: Argument[1].ReturnValue in computeIfAbsent","[summary] to write: ReturnValue in computeIfAbsent",0,0
"[summary] read: Argument[1].ReturnValue in computeIfAbsent","[summary] to write: Argument[this].MapValue in computeIfAbsent",0,0
"[summary] read: Argument[this].MapValue in computeIfAbsent","[summary] to write: ReturnValue in computeIfAbsent",0,0
"[summary] read: Argument[this].MapValue in replace","[summary] to write: ReturnValue in replace",0,0
"[summary] read: Argument[this].MapValue in putIfAbsent","[summary] to write: ReturnValue in putIfAbsent",0,0
"[summary] read: Argument[0].Parameter[0] in forEach","[summary] to write: Argument[this].MapKey in forEach",0,0
"[summary] read: Argument[0].Parameter[0] in forEach","[summary] to write: Argument[this].Element in forEach",0,0
"[summary] read: Argument[0].Parameter[1] in forEach","[summary] to write: Argument[this].MapValue in forEach",0,0
"[summary] read: Argument[this].MapValue in forEach","[summary] to write: Argument[0].Parameter[1] in forEach",0,0
"[summary] read: Argument[this].MapKey in forEach","[summary] to write: Argument[0].Parameter[0] in forEach",0,0
"[summary] read: Argument[this].MapValue in getOrDefault","[summary] to write: ReturnValue in getOrDefault",0,0
"[summary] read: Argument[this].MapValue in entrySet","[summary] to write: ReturnValue.Element.MapValue in entrySet",0,0
"[summary] read: Argument[this].MapKey in entrySet","[summary] to write: ReturnValue.Element.MapKey in entrySet",0,0
"[summary] read: Argument[this].MapValue in values","[summary] to write: ReturnValue.Element in values",0,0
"[summary] read: Argument[this].MapKey in keySet","[summary] to write: ReturnValue.Element in keySet",0,0
"[summary] read: Argument[0].MapValue in putAll","[summary] to write: Argument[this].MapValue in putAll",0,0
"[summary] read: Argument[0].MapKey in putAll","[summary] to write: Argument[this].MapKey in putAll",0,0
"[summary] read: Argument[this].MapValue in remove","[summary] to write: ReturnValue in remove",0,0
"[summary] read: Argument[this].MapValue in put","[summary] to write: ReturnValue in put",0,0
"[summary] read: Argument[this].MapValue in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[0].MapValue in WeakHashMap","[summary] to write: Argument[this].MapValue in WeakHashMap",0,0
"[summary] read: Argument[0].MapKey in WeakHashMap","[summary] to write: Argument[this].MapKey in WeakHashMap",0,0
"[summary] read: Argument[this].Element in spliterator","[summary] to write: ReturnValue.Element in spliterator",0,0
"[summary] read: Argument[this].Element in forEach","[summary] to write: Argument[0].Parameter[0] in forEach",0,0
"[summary] read: Argument[this].Element in iterator","[summary] to write: ReturnValue.Element in iterator",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Thread.name] in getName","[summary] to write: ReturnValue in getName",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.ThreadLocal.value] in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Throwable.message] in getLocalizedMessage","[summary] to write: ReturnValue in getLocalizedMessage",0,0
"[summary] read: Argument[this].MapValue in getProperty","[summary] to write: ReturnValue in getProperty",0,0
"[summary] read: Argument[this].MapValue in elements","[summary] to write: ReturnValue.Element in elements",0,0
"[summary] read: Argument[this].MapKey in keys","[summary] to write: ReturnValue.Element in keys",0,0
"[summary] read: Argument[this].Element in parallelStream","[summary] to write: ReturnValue.Element in parallelStream",0,0
"[summary] read: Argument[this].Element in stream","[summary] to write: ReturnValue.Element in stream",0,0
"[summary] read: Argument[0].Element in addAll","[summary] to write: Argument[this].Element in addAll",0,0
"[summary] read: Argument[this].Element in toArray","[summary] to write: Argument[0].ArrayElement in toArray",0,0
"[summary] read: Argument[this].Element in toArray","[summary] to write: ReturnValue.ArrayElement in toArray",0,0
"[summary param] 0 in Thread","[summary] to write: Argument[this].SyntheticField[java.lang.Thread.name] in Thread",0,0
"[summary param] 0 in set","[summary] to write: Argument[this].SyntheticField[java.lang.ThreadLocal.value] in set",0,0
"[summary param] 0 in set","[summary] to write: Argument[this].Element in set",0,0
"[summary param] 0 in Throwable","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in Throwable",0,0
"[summary param] 0 in Throwable","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in Throwable",0,0
"[summary param] 0 in UnsupportedOperationException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in UnsupportedOperationException",0,0
"[summary param] 0 in add","[summary] to write: Argument[this].Element in add",0,0
"[summary param] 1 in add","[summary] to write: Argument[this].Element in add",0,0
"[summary param] 1 in set","[summary] to write: Argument[this].Element in set",0,0
"[summary param] 0 in offer","[summary] to write: Argument[this].Element in offer",0,0
"[summary param] 0 in push","[summary] to write: Argument[this].Element in push",0,0
"[summary param] 0 in offerLast","[summary] to write: Argument[this].Element in offerLast",0,0
"[summary param] 0 in offerFirst","[summary] to write: Argument[this].Element in offerFirst",0,0
"[summary param] 0 in addLast","[summary] to write: Argument[this].Element in addLast",0,0
"[summary param] 0 in addFirst","[summary] to write: Argument[this].Element in addFirst",0,0
"[summary param] 0 in setValue","[summary] to write: Argument[this].MapValue in setValue",0,0
"[summary param] 0 in forEachRemaining","[summary] to write: Argument[0].Parameter[this] in forEachRemaining",0,0
"[summary param] 0 in orElseGet","[summary] to write: Argument[0].Parameter[this] in orElseGet",0,0
"[summary param] 0 in orElse","[summary] to write: ReturnValue in orElse",0,0
"[summary param] 0 in flatMap","[summary] to write: Argument[0].Parameter[this] in flatMap",0,0
"[summary param] 0 in map","[summary] to write: Argument[0].Parameter[this] in map",0,0
"[summary param] 0 in filter","[summary] to write: Argument[0].Parameter[this] in filter",0,0
"[summary param] 0 in ifPresent","[summary] to write: Argument[0].Parameter[this] in ifPresent",0,0
"[summary param] 0 in ofNullable","[summary] to write: ReturnValue.Element in ofNullable",0,0
"[summary param] 0 in of","[summary] to write: ReturnValue.Element in of",0,0
"[summary param] 1 in getProperty","[summary] to write: ReturnValue in getProperty",0,0
"[summary param] 0 in setProperty","[summary] to write: Argument[this].MapKey in setProperty",0,0
"[summary param] 1 in setProperty","[summary] to write: Argument[this].MapValue in setProperty",0,0
"[summary param] -1 in reset","[summary] to write: ReturnValue in reset",0,0
"[summary param] -1 in skip","[summary] to write: ReturnValue in skip",0,0
"[summary param] -1 in useRadix","[summary] to write: ReturnValue in useRadix",0,0
"[summary param] -1 in useLocale","[summary] to write: ReturnValue in useLocale",0,0
"[summary param] -1 in useDelimiter","[summary] to write: ReturnValue in useDelimiter",0,0
"[summary param] 0 in addElement","[summary] to write: Argument[this].Element in addElement",0,0
"[summary param] 0 in insertElementAt","[summary] to write: Argument[this].Element in insertElementAt",0,0
"[summary param] 0 in setElementAt","[summary] to write: Argument[this].Element in setElementAt",0,0
"[summary param] 0 in generate","[summary] to write: Argument[0].Parameter[this] in generate",0,0
"[summary param] 0 in iterate","[summary] to write: ReturnValue.Element in iterate",0,0
"[summary param] 0 in iterate","[summary] to write: Argument[1].Parameter[0] in iterate",0,0
"[summary param] 1 in iterate","[summary] to write: Argument[1].Parameter[this] in iterate",0,0
"[summary param] 0 in noneMatch","[summary] to write: Argument[0].Parameter[this] in noneMatch",0,0
"[summary param] 0 in allMatch","[summary] to write: Argument[0].Parameter[this] in allMatch",0,0
"[summary param] 0 in anyMatch","[summary] to write: Argument[0].Parameter[this] in anyMatch",0,0
"[summary param] 0 in max","[summary] to write: Argument[0].Parameter[this] in max",0,0
"[summary param] 0 in min","[summary] to write: Argument[0].Parameter[this] in min",0,0
"[summary param] 0 in collect","[summary] to write: Argument[0].Parameter[this] in collect",0,0
"[summary param] 1 in collect","[summary] to write: Argument[1].Parameter[this] in collect",0,0
"[summary param] 2 in collect","[summary] to write: Argument[2].Parameter[this] in collect",0,0
"[summary param] 0 in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[1].Parameter[0] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[2].Parameter[0] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[1].Parameter[1] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[2].Parameter[1] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[0].Parameter[this] in reduce",0,0
"[summary param] 1 in reduce","[summary] to write: Argument[1].Parameter[this] in reduce",0,0
"[summary param] 2 in reduce","[summary] to write: Argument[2].Parameter[this] in reduce",0,0
"[summary param] 0 in forEachOrdered","[summary] to write: Argument[0].Parameter[this] in forEachOrdered",0,0
"[summary param] 0 in peek","[summary] to write: Argument[0].Parameter[this] in peek",0,0
"[summary param] 0 in sorted","[summary] to write: Argument[0].Parameter[this] in sorted",0,0
"[summary param] 0 in flatMapToDouble","[summary] to write: Argument[0].Parameter[this] in flatMapToDouble",0,0
"[summary param] 0 in flatMapToLong","[summary] to write: Argument[0].Parameter[this] in flatMapToLong",0,0
"[summary param] 0 in flatMapToInt","[summary] to write: Argument[0].Parameter[this] in flatMapToInt",0,0
"[summary param] 0 in mapToDouble","[summary] to write: Argument[0].Parameter[this] in mapToDouble",0,0
"[summary param] 0 in mapToLong","[summary] to write: Argument[0].Parameter[this] in mapToLong",0,0
"[summary param] 0 in mapToInt","[summary] to write: Argument[0].Parameter[this] in mapToInt",0,0
"[summary] read: Argument[this].Element in subList","[summary] to write: ReturnValue.Element in subList",0,0
"[summary] read: Argument[this].Element in listIterator","[summary] to write: ReturnValue.Element in listIterator",0,0
"[summary] read: Argument[this].Element in remove","[summary] to write: ReturnValue in remove",0,0
"[summary] read: Argument[this].Element in set","[summary] to write: ReturnValue in set",0,0
"[summary] read: Argument[this].Element in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[1].Element in addAll","[summary] to write: Argument[this].Element in addAll",0,0
"[summary] read: Argument[this].Element in peek","[summary] to write: ReturnValue in peek",0,0
"[summary] read: Argument[this].Element in peek","[summary] to write: ReturnValue.Element in peek",0,0
"[summary] read: Argument[this].Element in peek","[summary] to write: Argument[0].Parameter[0] in peek",0,0
"[summary] read: Argument[this].Element in element","[summary] to write: ReturnValue in element",0,0
