
<<<Analysis>>>
The variable X is initialized to 6.
The function main() is called.
The variable t is initialized to 0.
The variable curr is initialized to 0.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1.
The variable curr is incremented by t.
The variable t is incremented by 1
