Input: UUULLLLRDD; Output: BUG
Input: DDDDDDDDDDDDDDDDDDDDDDDDDLLLLLLLLLLLLLLLLLLLLLLLLRRRRRRRRRRRRRRRRRRRRRRRRRRRUUUUUUUUUUUUUUUUUUUUUUUU; Output: BUG
Input: RUL; Output: BUG
Input: LLLLLLLLLLLLLLLLLLLLLLLLLLRUUUUUUUUUUUUUUUUUUUUUUUUU; Output: BUG
Input: LD; Output: OK
Input: R; Output: OK
Input: DLDLDDRR; Output: OK
Input: LUUDU; Output: BUG
Input: LRUD; Output: BUG
Input: DDDDRDDLDDDDDDDRDDLD; Output: OK
Input: UDR; Output: BUG
Input: RRLR; Output: BUG
Input: DDDDLLLDDDRRRUURRRR; Output: BUG
Input: UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUURDRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR; Output: BUG
Input: DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDLLLLDDDDRRRRUUURRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR; Output: BUG
Input: RDRDDD; Output: OK
Input: LULULL; Output: OK
Input: RLRRRRRDRRDRRRRDLRRRRRRRDLRLDDLRRRRLDLDRDRRRRDRDRDRDLRRURRLRRRRDRRRRRRRRLDDRLRRDRRRRRRRDRDRLDRDDDRDR; Output: BUG
Input: DRDRD; Output: OK
Input: UULLDLUR; Output: BUG
Input: DDLDRRR; Output: BUG
Input: R; Output: OK
Input: DDUL; Output: BUG
Input: DDDDDDDDDDLLLLLLLLLLLDDDDDDDDDDDRRRRRRRRRRRUUUUUUUUUURRRRRRRRRR; Output: BUG
Input: ULD; Output: BUG
Input: DDDR; Output: OK
Input: DLURUUU; Output: BUG
Input: URRRRRURRURUURRRRRDDDDLDDDRDDDDLLDLL; Output: OK
Input: RURRRRLURRRURRUURRRRRRRRDDULULRRURRRDRRRRRRRRRRLDR; Output: BUG
Input: L; Output: OK
Input: LLLLLLLLRRRRDDDDDDDUUUUUU; Output: BUG
Input: DL; Output: OK
Input: RRRUUULLLDD; Output: BUG
Input: UUUURDLLLL; Output: BUG
Input: LUUUULLLLDDDDRRRD; Output: BUG
Input: RRRRRRRRRRRURLLLLLLLLLLLL; Output: BUG
Input: DDDDDDDDDDDDUUUUUUUUUUUURRRRRRRRRRRRRLLLLLLLLLLLLLLL; Output: BUG
Input: DLUR; Output: BUG
Input: RRUULLD; Output: BUG
Input: URRRLULUURURLRLLLLULLRLRURLULRLULLULRRUU; Output: BUG
Input: RRDL; Output: BUG
Input: RDLUR; Output: BUG
Input: RRDD; Output: OK
Input: ULURL; Output: BUG
Input: RRUULLDD; Output: BUG
Input: RR; Output: OK
Input: R; Output: OK
Input: RRRRRRRRRRRDDDDDDDDDDDDDDDDDDDRRRRRRRRRRRRRRRRRRRUUUUUUUUUUUUUUUUUUULLLLLLLLLLLLLLLLLLUUUUUUUUUUU; Output: BUG
Input: DDR; Output: OK
Input: DDDDDDDLLDDRRURRRRRRR; Output: BUG
Input: DDDLLLLLLLDDDDDDDRRRRRRRUUUUUURRR; Output: BUG
Input: UUUDU; Output: BUG
Input: RDRLL; Output: BUG
