
<<<Analysis>>>
The variable S is initialized with the input string.
The variable c is initialized with the character array of S.
The variable i is initialized with 4.
The variable i is incremented by 1.
The character at the index i of c is printed.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
The variable i is incremented by 1.
