
<<<Analysis>>>
The variable year is initialized with 0.
The variable number is initialized with 0.
The variable sb is initialized with a StringBuilder object.
The variable sb is initialized with the string "ai1333".
The variable sb is appended with 3 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The variable sb is appended with "3" 3 times.
The
