Input: 9999912; Output: 838611268523363
Input: 10000000; Output: 838627288460105
Input: 1; Output: 1
Input: 3690081; Output: 107405575992512
Input: 9995083; Output: 837779626111757
Input: 9999957; Output: 838618368476391
Input: 9999985; Output: 838622848463579
Input: 6190629; Output: 312205203634150
Input: 9995081; Output: 837778826505181
Input: 4; Output: 23
Input: 9999927; Output: 838614108500939
Input: 1047202; Output: 7959439195962
Input: 9998243; Output: 838323485023281
Input: 9998245; Output: 838324374867005
Input: 9998244; Output: 838324294881045
Input: 9995082; Output: 837779466190429
Input: 7914575; Output: 517994416125999
Input: 100; Output: 26879
Input: 4979445; Output: 199292267097194
Input: 9999991; Output: 838625848460453
