
11: 1 2 3
12: 1 2 4
13: 1 2 5
14: 1 2 6
15: 1 2 7
16: 1 2 8
17: 1 2 9
18: 1 2 10
19: 1 2 11
20: 1 2 12
21: 1 2 13
22: 1 2 14
23: 1 2 15
24: 1 2 16
25: 1 2 17
26: 1 2 18
27: 1 2 19
28: 1 2 20
29: 1 2 21
30: 1 2 22
31: 1 2 23

The return value of the code is the output that is written to the standard output.
In this case, the output is:
```
11: 1 2 3
12: 1 2 4
13: 1 2 5
14: 1 2 6
15: 1 2 7
16: 1 2 8
17: 1 2 9
18: 1 2 10
19: 1 2 11
20: 1 2 12
21: 1 2 13
22: 1 2 14
23: 1 2 15
24: 1 2 16
25: 1 2 17
26: 1 2 18
27: 1
