Input: 601449; Output: 300723
Input: 3; Output: 3
Input: 1; Output: 1
Input: 7; Output: 1
Input: 260522; Output: -1
Input: 999983; Output: 999982
Input: 531441; Output: 531441
Input: 871131; Output: 5040
Input: 979445; Output: -1
Input: 436426; Output: -1
Input: 287940; Output: -1
Input: 296263; Output: 12870
Input: 407775; Output: -1
Input: 11; Output: 2
Input: 101; Output: 4
Input: 1000000; Output: -1
Input: 823543; Output: 100842
Input: 999863; Output: 999862
Input: 21; Output: 3
Input: 2; Output: -1
Input: 63340; Output: -1
Input: 836991; Output: 138096
Input: 13; Output: 6
Input: 237169; Output: 486
Input: 224593; Output: 111194
Input: 823543; Output: 100842
Input: 999953; Output: 999952
