Input: 2 1 2; Output: 1
Input: 64 1 8; Output: 2
Input: 6 2 3; Output: 1
Input: 12351 1223 6; Output: 2
Input: 100000 3125 2; Output: 5
Input: 100000 99999 3; Output: 1
Input: 100000 99999 4; Output: 1
Input: 12326 6163 2; Output: 1
Input: 12628 1804 7; Output: 1
Input: 5 4 7; Output: 1
Input: 100000 1 3; Output: 11
Input: 50 2 2; Output: 5
Input: 25 2 2; Output: 4
Input: 100000 1 5; Output: 8
Input: 100000 3 2; Output: 16
Input: 100000 1 2; Output: 17
Input: 356 2 3; Output: 5
Input: 10000 2500 4; Output: 1
Input: 65465 12 3; Output: 8
Input: 2 1 3; Output: 1
Input: 100000 45 13; Output: 4
Input: 100000 1 10000; Output: 2
Input: 2 1 10000; Output: 1
Input: 10033 3 8; Output: 4
Input: 100000 1 4; Output: 9
Input: 100000 99999 2; Output: 1
Input: 10000 9 2; Output: 11
Input: 10028 13 10000; Output: 1
Input: 6562 1 3; Output: 9
Input: 5 2 2; Output: 2
Input: 129 2 2; Output: 7
Input: 100000 1 10; Output: 5
Input: 100000 500 3; Output: 5
