Input: 7 26; Output: Ciel
Input: 2 26; Output: Hanako
Input: 2 1; Output: Hanako
Input: 4 25; Output: Hanako
Input: 915488 635412; Output: Hanako
Input: 192071 19670; Output: Hanako
Input: 11 24; Output: Hanako
Input: 3 13; Output: Ciel
Input: 1 12; Output: Ciel
Input: 874382 81677; Output: Hanako
Input: 5 2; Output: Ciel
Input: 743519 228136; Output: Ciel
Input: 378897 104123; Output: Ciel
Input: 8 16; Output: Ciel
Input: 10 23; Output: Ciel
Input: 6 23; Output: Ciel
Input: 1 20; Output: Ciel
Input: 0 35; Output: Ciel
Input: 1000000 1000000; Output: Ciel
Input: 8 15; Output: Hanako
Input: 5 16; Output: Ciel
Input: 1 11; Output: Hanako
Input: 12 14; Output: Hanako
Input: 783744 701689; Output: Hanako
Input: 233663 723781; Output: Hanako
Input: 3 1; Output: Hanako
Input: 78813 65543; Output: Hanako
Input: 6 2; Output: Ciel
Input: 6 14; Output: Hanako
Input: 11 0; Output: Hanako
Input: 5 26; Output: Ciel
Input: 9 24; Output: Hanako
Input: 12 25; Output: Hanako
Input: 7 1; Output: Hanako
Input: 333825 679597; Output: Hanako
Input: 7 13; Output: Ciel
Input: 497151 591228; Output: Hanako
Input: 5 1; Output: Hanako
Input: 9 1; Output: Hanako
Input: 6 1; Output: Hanako
Input: 11 13; Output: Ciel
Input: 2 2; Output: Ciel
Input: 7 2; Output: Ciel
Input: 9 16; Output: Ciel
Input: 3 5; Output: Ciel
Input: 7 25; Output: Hanako
Input: 2 23; Output: Ciel
Input: 7 14; Output: Hanako
Input: 359 479; Output: Hanako
Input: 1000000 0; Output: Hanako
Input: 10 12; Output: Ciel
Input: 10 13; Output: Ciel
Input: 0 21; Output: Hanako
Input: 100 99; Output: Ciel
Input: 4 26; Output: Ciel
Input: 11 12; Output: Ciel
Input: 3 14; Output: Hanako
Input: 8 2; Output: Ciel
Input: 0 0; Output: Hanako
Input: 365407 657504; Output: Hanako
Input: 8 26; Output: Ciel
Input: 947070 613320; Output: Hanako
Input: 4 1; Output: Hanako
Input: 0 30; Output: Ciel
Input: 0 22; Output: Ciel
Input: 3 2; Output: Ciel
Input: 9 23; Output: Ciel
Input: 12 15; Output: Hanako
Input: 8 1; Output: Hanako
Input: 991262 957664; Output: Ciel
Input: 11 25; Output: Hanako
Input: 5 15; Output: Hanako
Input: 3 4; Output: Ciel
Input: 8 25; Output: Hanako
Input: 0 1000000; Output: Hanako
Input: 5 24; Output: Hanako
Input: 178087 42116; Output: Ciel
Input: 4 2; Output: Ciel
Input: 308950 895657; Output: Hanako
Input: 6 4; Output: Hanako
Input: 425829 771644; Output: Ciel
Input: 3 0; Output: Hanako
Input: 1000 1000; Output: Ciel
Input: 61207 166129; Output: Hanako
Input: 9 15; Output: Hanako
Input: 3 22; Output: Hanako
Input: 10 22; Output: Ciel
Input: 5 5; Output: Hanako
Input: 12 24; Output: Hanako
Input: 2 14; Output: Ciel
Input: 4 24; Output: Hanako
Input: 9 2; Output: Ciel
Input: 6 13; Output: Ciel
Input: 202081 745873; Output: Hanako
Input: 6 24; Output: Hanako
Input: 626640 833651; Output: Ciel
Input: 528732 87635; Output: Ciel
Input: 5 23; Output: Ciel
Input: 2 24; Output: Hanako
