Input: 885351316 940613198; Output: 101504362371716828
Input: 960440942 978948770; Output: 37994137969711694
Input: 93 31801; Output: 2168764598
Input: 3722 867350896; Output: 249999999500000000
Input: 366632331 444054372; Output: 246870086263631244
Input: 191970163 690033048; Output: 249999999500000000
Input: 1 999; Output: 249500
Input: 8 10; Output: 890
Input: 9265 978077465; Output: 249999999500000000
Input: 71990 79486; Output: 2016367910
Input: 46811 52308; Output: 2499950000
Input: 48 51; Output: 2450
Input: 850 629417171; Output: 249999999500000000
Input: 1 1000000000; Output: 8999999999000000000
Input: 999999999 999999999; Output: 0
Input: 6680315 7297787; Output: 22176534820460
Input: 9015 34697316; Output: 2265827827698828
Input: 999999999 1000000000; Output: 8999999999000000000
Input: 491257592 512099550; Output: 249999999500000000
Input: 91933994 100016179; Output: 90012942838223780
Input: 862630595 866814866; Output: 118499050707315380
Input: 578453019 869566694; Output: 243845123231332620
Input: 1 2; Output: 14
Input: 484380637 865372184; Output: 249999999500000000
Input: 74 25339; Output: 1891809740
Input: 4 6; Output: 20
Input: 446235722 812546691; Output: 249999999500000000
Input: 400000001 999999998; Output: 249999999500000000
Input: 916069265 970899369; Output: 76886365806290510
Input: 291070314 465398755; Output: 248802753379051220
Input: 91504334 100015113; Output: 90012090071582118
Input: 66 95; Output: 2178
Input: 380300819 475584338; Output: 249403874973517418
Input: 1 1; Output: 8
Input: 796685541 970363166; Output: 161977688964851778
Input: 29426 33865; Output: 2239627910
Input: 6277 181089912; Output: 148296355590742344
Input: 3 7; Output: 20
Input: 90 19714; Output: 1582738490
Input: 9999 100000001; Output: 90000000699999998
Input: 66 74; Output: 2178
Input: 733403773 763985558; Output: 195522678015960698
Input: 91135741 100003483; Output: 90002786287865228
Input: 163 306093048; Output: 212400093659976648
Input: 4999 5000; Output: 24995000
Input: 99 59212; Output: 2499950000
Input: 595 416293084; Output: 242993151797475860
Input: 91769999 100006528; Output: 90005222257378688
Input: 2 2; Output: 14
Input: 578176478 671720904; Output: 243888437709339038
Input: 13 43460; Output: 2457184940
Input: 541659852 795298538; Output: 248264456189678244
Input: 1 4; Output: 20
Input: 4999 4999; Output: 24995000
Input: 1000000000 1000000000; Output: 8999999999000000000
Input: 880006277 941096188; Output: 105595228560592994
Input: 40 60; Output: 2450
Input: 10 100; Output: 89900
Input: 5000 5000; Output: 24995000
Input: 51473722 970290896; Output: 249999999500000000
Input: 91516955 100003356; Output: 90002684688733908
Input: 21640850 672697171; Output: 249999999500000000
Input: 609160934 909699101; Output: 238083889879086710
Input: 3019 712663676; Output: 249999999500000000
Input: 645009015 679697316; Output: 228972384923720760
Input: 555555 555555; Output: 246913086420
Input: 934 300539101; Output: 210215349469572698
Input: 942 572335596; Output: 249999999500000000
Input: 314 592188442; Output: 249999999500000000
Input: 91921683 100018777; Output: 90015021147405494
Input: 86189 88384; Output: 1190270090
Input: 419917095 599395901; Output: 249999999500000000
Input: 2331 77424372; Output: 2499999950000000
Input: 2 36352; Output: 2313695744
Input: 6 7; Output: 18
Input: 91274316 100009110; Output: 90007287816998790
Input: 79 12776; Output: 1114361048
Input: 19971607 162619978; Output: 136174720592659538
Input: 58067 66986; Output: 2434865444
Input: 100000000 999999999; Output: 249999999500000000
Input: 9999999 9999999; Output: 0
Input: 999999998 999999999; Output: 999999998
Input: 91713375 100004340; Output: 90003471881160060
Input: 27 71; Output: 2450
