
<<<Analysis>>>
The variable K, variable A and variable B are initialized with 4000, 2000 and 500 respectively according to the input.
It enters a if statement to check if A<=B. If it is true, it returns A>=K?1:-1.
If it is false, it returns 1.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
It enters a if statement to check if A>=K. If it is true, it returns 1.
If it is false, it returns 0.
