Input: 59961393 89018456; Output: 125442491
Input: 511702305 84420925; Output: 564604753
Input: 294702567 726956429; Output: 1219362194
Input: 783368690 102520059; Output: 1733393891
Input: 1000000000 1000000000; Output: 1000000001
Input: 31415 92653; Output: 67044
Input: 35005211 521595368; Output: 898600336
Input: 628175011 656478042; Output: 869049667
Input: 734575198 973594324; Output: 1158070577
Input: 369133069 125898167; Output: 1131031590
Input: 608413784 756898537; Output: 1344312441
Input: 937477084 827336327; Output: 1661110812
Input: 44897763 967513926; Output: 674213532
Input: 145174067 468703135; Output: 676481931
Input: 1000000000 0; Output: 1000000000
Input: 681692777 714636915; Output: 1201329194
Input: 957747793 424238335; Output: 1491580217
Input: 278722862 233665123; Output: 600289194
Input: 315634022 635723058; Output: 1165961558
Input: 101513929 801979802; Output: 310493037
Input: 719885386 649760492; Output: 1013953332
Input: 412776091 424268980; Output: 502638515
Input: 25202362 350490027; Output: 745296415
Input: 100 200; Output: 102
Input: 859484421 914544919; Output: 1778929840
Input: 1000000000 999999999; Output: 1999999999
Input: 365180540 540383426; Output: 989563585
Input: 129566413 184803526; Output: 754874894
Input: 336465782 861021530; Output: 371585950
Input: 911759956 749241873; Output: 1289902903
Input: 137806862 42999170; Output: 145006786
Input: 0 1000000000; Output: 1
Input: 982906996 135497281; Output: 1165701527
Input: 3 14; Output: 44
Input: 0 0; Output: 0
Input: 27 12; Output: 48
Input: 304089172 303455736; Output: 941643475
Input: 804289383 846930886; Output: 1492329031
Input: 131176229 653377373; Output: 504949585
Input: 149798315 38664370; Output: 157144998
Input: 596516649 189641421; Output: 720663630
